CONS,ACC,gen,col,row,rep,sep_21_Y,may_22_Y,jul_22_Y,aug_22_Y,sep_22_Y,total_22,jul_22_Chloro,sep_21_PH,apr_22_PH,aug_22_PH
65,Plot 64,64,2,32,1,0.5,2.35,2.04,1.16,0.8,6.35,65.15,31.5,34,27.94
66,EXTRA,CK,2,33,1,NA,2.33,2.75,1.8,1.58,8.46,NA,NA,NA,45.72
67,Plot 65,65,3,1,1,0.53,1.88,2.45,1.48,0.93,6.74,63.2,34.5,24.5,40.64
68,Plot 66,66,3,2,1,0.63,3.01,2.79,1.96,1.68,9.44,64.7,39,46,50.8
69,Plot 67,67,3,3,1,0.7,0.41,2.6,1.49,1.06,5.56,61,37.5,15,38.1
70,Plot 68,68,3,4,1,0.4,1.2,1.7,1.48,0.86,5.24,64.8,28,23.5,43.18
71,Plot 69,69,3,5,1,0.43,1,1.37,1.33,0.91,4.61,64.9,46,29.5,53.34
72,Plot 70,70,3,6,1,0.4,1.07,2.6,1.5,1.03,6.2,59.75,32.5,22,50.8
73,Plot 71,71,3,7,1,0.45,0.88,1.34,1.13,0.7,4.05,66.9,24,20,45.72
74,Plot 72,72,3,8,1,0.78,3.12,2.46,1.42,0.95,7.95,59.95,34,46.5,45.72
75,Plot 73,73,3,9,1,0.5,0.25,1,1.03,0.64,2.92,67.15,22,14.5,43.18
76,Plot 74,74,3,10,1,0.65,1.04,1.06,1,0.72,3.82,62.25,30,23,43.18
77,Plot 75,75,3,11,1,0.95,2.1,2.65,1.92,1.37,8.04,65.85,35.5,34.5,50.8
78,Plot 76,76,3,12,1,0.35,1.5,1.44,0.8,0.6,4.34,63.9,36,30,38.1
79,Plot 77,77,3,13,1,0.5,2.03,2.67,2.01,1.45,8.16,69,40,44.5,58.42
80,Plot 78,78,3,14,1,0.38,1.25,1.58,1.08,0.7,4.61,61.45,45,31,40.64
81,Plot 79,79,3,15,1,0.58,2,2.6,1.48,1.14,7.22,65.15,33,31,43.18
82,Plot 80,80,3,16,1,0.55,1.72,1.79,1,0.91,5.42,65.75,35.5,33,38.1
83,Plot 81,81,3,17,1,0.63,2.07,2.72,2,1.43,8.22,71.15,33,42,45.72
84,Plot 82,82,3,18,1,0.5,0.25,1.16,1.14,0.91,3.46,66.35,10.5,15,38.1
85,Plot 83,83,3,19,1,0.5,1.88,2.61,1.11,1.07,6.67,61.55,51,40,30.48
86,Plot 84,84,3,20,1,0.3,1.05,1.12,0.96,0.9,4.03,63.15,33.5,27,33.02
87,Plot 85,85,3,21,1,0.45,1.02,3.3,2.42,2.02,8.76,67.65,46,37,48.26
88,Plot 86,86,3,22,1,0.23,0.47,0.56,0.78,0.34,2.15,69.85,30,26,38.1
89,Plot 87,87,3,23,1,0.38,2.3,2.49,1.77,1.36,7.92,64.3,39,37.5,48.26
90,Plot 88,88,3,24,1,0.43,0.8,1.69,0.95,0.9,4.34,58.55,33,25,38.1
91,Plot 89,89,3,25,1,0.35,1.33,2.51,1.75,1.4,6.99,62.15,40,28.5,35.56
92,Plot 90,90,3,26,1,0.58,2.99,2.45,1.52,1.39,8.35,58.55,43.5,40,38.1
93,Plot 91,91,3,27,1,0.63,1.24,1.15,0.86,0.62,3.87,62.6,27,42,40.64
94,Plot 92,92,3,28,1,0.65,1.45,1.92,1.61,1.36,6.34,63.1,28,36,38.1
95,Plot 93,93,3,29,1,0.68,2.14,2.4,1.7,1.33,7.57,62.1,38,40,55.88
96,Plot 94,94,3,30,1,0.48,1.28,1.69,1.37,1.18,5.52,63.5,29,22.5,30.48
97,Plot 95,95,3,31,1,0.73,2.35,3.3,1.96,1.66,9.27,60.05,31,40,45.72
98,Plot 96,96,3,32,1,0.33,1.32,1.25,1,0.8,4.37,60.4,33,36,40.64
99,EXTRA,CK,3,33,1,NA,2.21,2.3,1.51,1.29,7.31,NA,NA,NA,45.72
100,Plot 97,97,4,1,1,0.93,2.66,0.42,0.21,0.08,3.37,63.95,27,22,40.64
101,Plot 98,98,4,2,1,0.7,0.89,1.1,1.36,1.08,4.43,62.3,17.5,19.5,58.42
102,Plot 99,99,4,3,1,0.6,0.1,0.4,0.68,0.56,1.74,67.65,26.5,8,50.8
103,Plot 100,100,4,4,1,0.7,1.29,1.33,1.31,1.03,4.96,66.6,17,20,40.64
104,Plot 101,101,4,5,1,0.75,2.47,1.78,1.6,1.35,7.2,57.9,36,32.5,45.72
105,Plot 102,102,4,6,1,0.48,0.92,1.33,0.92,0.81,3.98,59.55,25,30,40.64
106,Plot 103,103,4,7,1,0.4,1.31,2.32,1.6,0.66,5.89,68.1,25,20,43.18
107,Plot 104,104,4,8,1,0.78,2.56,2.62,2.01,1.05,8.24,67.25,32,39,55.88
108,Plot 105,105,4,9,1,0.88,2.05,2.22,1.51,1.37,7.15,61.65,38,39,43.18
109,Plot 106,106,4,10,1,0.6,1.5,1.85,1.31,0.9,5.56,61.55,32,31.5,43.18
110,Plot 107,107,4,11,1,0.83,2.13,2.69,1.62,1.2,7.64,67,34,40,43.18
111,Plot 108,108,4,12,1,1.08,1.92,2.68,1.72,1.3,7.62,61.8,40.5,17.5,43.18
